source,target,mapping
Bermbeplanting,ad:begroeidTerreindeelBerm_v,
Vaarwegbodem,ad:bodem_v,
Bebakening en bebording,ad:bord_p,ad:typeSpecBRD = adwl:typeSpecBRD_RvvVerkeersbord
DRIS-paneel,ad:bord_p,ad:typeSpecBRD = adwl:typeSpecBRD_DrisPaneelonbekend
Bewegwijzering,ad:bordWegwijzer_p,
Zwemwaterborden,ad:bordZwemwater_p,
Bouwdeel (NEN 2767-4) Geluidwerende constructie,ad:bouwdeelGeluidsscherm_tbl,
Bouwdeel (NEN 2767-4) Beweegbaar Kunstwerk,ad:bouwdeelKunstwerk_tbl,
Bouwdeel (NEN 2767-4) Schutsluis,ad:bouwdeelKunstwerk_tbl,
Bouwdeel (NEN 2767-4) Vast Kunstwerk,ad:bouwdeelKunstwerk_tbl,
Bouwdeel (NEN 2767-4) Oever,ad:bouwdeelOevervak_tbl,
Kolkleiding,ad:buis_l,
Ecologische verbindingszone,ad:ecoVerbZone_v,
Ecoduct,ad:faunavoorziening_v,
Ecopassages,ad:faunavoorziening_v,
Faunaraster,ad:faunavoorziening_v,
Geluidscherm,ad:geluidwerendeVoorziening_l,
Bushalte,ad:halte_v,
Energieverzorging (zonnepaneel),ad:installatie_p,ad:typeINS = adwl:typeINS_niet-bgtzonnepaneel
Gladheidsmeldsysteem,ad:kast_p,ad:typeKST = adwl:typeKST_niet-bgtGMSkast
Telkast,ad:kast_p,ad:typeKST = adwl:typeKST_niet-bgttelkast
Kruispunt,ad:kruispunt_p,ad:typeSpecKRU = 
Rotonde,ad:kruispunt_p,ad:typeSpecKRU = adwl:typeSpecKRU_Rotonde
Beweegbaar kunstwerk,ad:kunstwerkBeweegbaar_p,
Vast kunstwerk,ad:kunstwerkVast_p,
Element (NEN 2767-4) Beweegbaar kunstwerk,ad:kwElement_tbl,ad:kw_beweegbaar = niet leeg
Element (NEN 2767-4) Schutsluis,ad:kwElement_tbl,ad:schutsluis = niet leeg
Element (NEN 2767-4) Vast kunstwerk,ad:kwElement_tbl,ad:kw_vast = niet leeg
Kolk en put,ad:leidingelement_p,ad:typeSpecLDE = adwl:typeSpecLDE_Straatkolk or adwl:typeSpecLDE_Trottoirkolk
Oever,ad:oevervak_v,
Onderdelen VRI,ad:onderdeel_tbl,ad:typeSpecOND = adwl:typeSpecOND_DrukknopVRI or adwl:typeSpecOND_RateltikkerVRI
Oeverbeplanting,ad:ondersteunendWaterdeel_v,ad:typeSpecOWA = adwl:typeSpecOWA_Plasberm
Draagkrachtige berm,ad:ondersteunendWegdeel_v,ad:functieOWG = adwl:functieOWG_berm
Abri,ad:overigBouwwerk_v,ad:typeSpecOBWVlak = adwl:typeSpecOBWVlak_OFN or adwl:typeSpecOBWVlak_R-net
Bermplankjes,ad:paalAfbakening_p,ad:typeSpecPALAfbakening = adwl:typeSpecPALAfbakening_Bermplankonbekend
Verzorgingsplaats,ad:recreatieplek_v,
Geluidwerende constructie (NEN 2767-4),ad:scheidingGeluidsscherm_l,
Element (NEN 2767-4) Oever,ad:scheidingOevervak_l,
Schutsluis,ad:schutsluis_p,
Detectielus,ad:sensor_l,ad:typeSpecSNSLijn = adwl:typeSpecSNSLijn_Detectielus
VRI-camera,ad:sensor_p,ad:typeSNSPunt = adwl:typeSNSPunt_niet-bgtcamera
Waarnemingscamera Wegverkeer,ad:sensor_p,ad:typeSNSPunt = adwl:typeSNSPunt_niet-bgtcamera
Actieve markering (LED),ad:straatmeubilairLichtpunt_p,ad:typeSpecSTMLichtpunt = adwl:typeSpecSTMLichtpunt_Markeringunit or adwl:typeSpecSTMLichtpunt_Markeringunitonbekend
Telpaal,ad:telpaal_p,
Vaarwegennet,ad:traject_v,ad:typeSpecTRA = adwl:typeSpecTRA_Vaarweg
Wegennet,ad:traject_v,ad:typeSpecTRA = adwl:typeSpecTRA_Busbaan or adwl:typeSpecTRA_Fietspad or adwl:typeSpecTRA_Weg
Vaarweg,ad:vaarweg_l,
Betonning,ad:waterinrichtingselement_p,ad:typeWTIPunt = adwl:typeWTIPunt_niet-bgtbetonning
Lichtopstanden,ad:waterinrichtingselement_p,ad:typeSpecWIIPunt = 
Bermsloot/greppel,ad:waterloop_l,
Weg,ad:weg_l,
Parkeerplaats,ad:wegdeel_v,ad:functieWGD =  adwl:functieWGD_parkeervlak
Wegelement Autoverkeer,ad:wegdeel_v,ad:functieWGD =  adwl:functieWGD_rijbaanautoweg
Wegelement Busverkeer,ad:wegdeel_v,ad:functieWGD =  adwl:functieWGD_OV-baan
Wegelement Fietsverkeer,ad:wegdeel_v,ad:functieWGD =  adwl:functieWGD_fietspad
Wegelement Landbouwverkeer,ad:wegdeel_v,ad:functieWGD =  adwl:functieWGD_rijbaanlokaleweg
Wegelement Voetgangersverkeer,ad:wegdeel_v,ad:functieWGD =  adwl:functieWGD_voetpad
Perron,ad:wegdeelperron_v,
Voertuigkering,ad:weginrichtingselement_l,ad:typeWGILijn = adwl:typeWGILijn_niet-bgtgeleideconstructie